transaction_id,sender_id,receiver_id,amount,timestamp
TXN001,SOURCE_A,SHELL_1,10000.00,2024-01-01T10:00:00
TXN002,SHELL_1,SHELL_2,9500.00,2024-01-01T12:00:00
TXN003,SHELL_2,SHELL_3,9000.00,2024-01-01T14:00:00
TXN004,SHELL_3,FINAL_DEST,8500.00,2024-01-01T16:00:00
TXN005,NORMAL_USER,MERCHANT_A,5000.00,2024-01-02T10:00:00
TXN006,NORMAL_USER,MERCHANT_B,3000.00,2024-01-02T11:00:00
TXN007,NORMAL_USER,MERCHANT_C,2000.00,2024-01-02T12:00:00
TXN008,NORMAL_USER,MERCHANT_D,1500.00,2024-01-02T13:00:00
TXN009,NORMAL_USER,MERCHANT_E,1000.00,2024-01-02T14:00:00
TXN010,MERCHANT_A,SUPPLIER_X,4500.00,2024-01-02T15:00:00
TXN011,ACC001,ACC002,5000.00,2024-01-03T10:00:00
TXN012,ACC002,ACC003,4800.00,2024-01-03T11:00:00
TXN013,ACC003,ACC001,4600.00,2024-01-03T12:00:00
