transaction_id,sender_id,receiver_id,amount,timestamp
TXN001,SENDER01,COLLECTOR_A,1000.00,2024-01-01T10:00:00
TXN002,SENDER02,COLLECTOR_A,1200.00,2024-01-01T10:30:00
TXN003,SENDER03,COLLECTOR_A,900.00,2024-01-01T11:00:00
TXN004,SENDER04,COLLECTOR_A,1100.00,2024-01-01T11:30:00
TXN005,SENDER05,COLLECTOR_A,1300.00,2024-01-01T12:00:00
TXN006,SENDER06,COLLECTOR_A,950.00,2024-01-01T12:30:00
TXN007,SENDER07,COLLECTOR_A,1050.00,2024-01-01T13:00:00
TXN008,SENDER08,COLLECTOR_A,1150.00,2024-01-01T13:30:00
TXN009,SENDER09,COLLECTOR_A,1250.00,2024-01-01T14:00:00
TXN010,SENDER10,COLLECTOR_A,1000.00,2024-01-01T14:30:00
TXN011,SENDER11,COLLECTOR_A,1100.00,2024-01-01T15:00:00
TXN012,SENDER12,COLLECTOR_A,1200.00,2024-01-01T15:30:00
TXN013,COLLECTOR_A,DISPERSER_B,10000.00,2024-01-01T16:00:00
TXN014,DISPERSER_B,RECV01,900.00,2024-01-01T17:00:00
TXN015,DISPERSER_B,RECV02,850.00,2024-01-01T17:15:00
TXN016,DISPERSER_B,RECV03,920.00,2024-01-01T17:30:00
TXN017,DISPERSER_B,RECV04,880.00,2024-01-01T17:45:00
TXN018,DISPERSER_B,RECV05,910.00,2024-01-01T18:00:00
TXN019,DISPERSER_B,RECV06,870.00,2024-01-01T18:15:00
TXN020,DISPERSER_B,RECV07,890.00,2024-01-01T18:30:00
TXN021,DISPERSER_B,RECV08,860.00,2024-01-01T18:45:00
TXN022,DISPERSER_B,RECV09,900.00,2024-01-01T19:00:00
TXN023,DISPERSER_B,RECV10,880.00,2024-01-01T19:15:00
TXN024,DISPERSER_B,RECV11,920.00,2024-01-01T19:30:00
TXN025,DISPERSER_B,RECV12,850.00,2024-01-01T19:45:00
TXN026,ACC001,ACC002,5000.00,2024-01-02T10:00:00
TXN027,ACC002,ACC003,4800.00,2024-01-02T11:00:00
TXN028,ACC003,ACC001,4600.00,2024-01-02T12:00:00
